"Category","Application_Date","Latitude","Longitude"
"MULTIFAMILY","11/16/2010","47.6201355","-122.31524783"
"MULTIFAMILY","11/16/2010","47.62028071","-122.31531516"
"MULTIFAMILY","11/12/2010","47.60567254","-122.31842317"
"COMMERCIAL","11/12/2010","47.63560283","-122.3266618"
"SINGLE FAMILY / DUPLEX","11/10/2010","47.65149699","-122.33176906"
"MULTIFAMILY","11/08/2010","47.63683548","-122.38659307"
"SINGLE FAMILY / DUPLEX","11/08/2010","47.68565512","-122.27448919"
"SINGLE FAMILY / DUPLEX","11/05/2010","47.62959085","-122.28319006"
"SINGLE FAMILY / DUPLEX","11/04/2010","47.57796347","-122.38831199"
"MULTIFAMILY","11/04/2010","47.58883022","-122.30991736"
"SINGLE FAMILY / DUPLEX","11/03/2010","47.55442002","-122.27823533"
"SINGLE FAMILY / DUPLEX","11/02/2010","47.55694998","-122.31371126"
"SINGLE FAMILY / DUPLEX","10/29/2010","47.55797817","-122.35679502"
"SINGLE FAMILY / DUPLEX","10/27/2010","47.520455","-122.39437451"
"SINGLE FAMILY / DUPLEX","10/27/2010","47.68962821","-122.29159204"
"SINGLE FAMILY / DUPLEX","10/25/2010","47.55649194","-122.39139502"
"MULTIFAMILY","10/20/2010","47.6366287","-122.35739732"
"SINGLE FAMILY / DUPLEX","10/20/2010","47.56565822","-122.38868195"
"SINGLE FAMILY / DUPLEX","10/18/2010","47.67758398","-122.37702986"
"SINGLE FAMILY / DUPLEX","10/15/2010","47.65592848","-122.27983932"
"MULTIFAMILY","10/12/2010","47.66476595","-122.31816528"
"SINGLE FAMILY / DUPLEX","10/06/2010","47.6470872","-122.31843211"
"SINGLE FAMILY / DUPLEX","10/06/2010","47.66810849","-122.35667342"
"SINGLE FAMILY / DUPLEX","10/04/2010","47.65051361","-122.37586043"
"SINGLE FAMILY / DUPLEX","09/29/2010","47.66028766","-122.28303044"
"SINGLE FAMILY / DUPLEX","09/29/2010","47.54365523","-122.39492508"
"MULTIFAMILY","09/29/2010","47.69112621","-122.31296763"
"COMMERCIAL","09/27/2010","47.56522374","-122.3220682"
"SINGLE FAMILY / DUPLEX","09/22/2010","47.57702078","-122.38104377"
"COMMERCIAL","09/21/2010","47.61329667","-122.31982181"
"SINGLE FAMILY / DUPLEX","09/20/2010","47.71318096","-122.27698486"
"SINGLE FAMILY / DUPLEX","09/17/2010","47.50335706","-122.37685116"
"SINGLE FAMILY / DUPLEX","09/17/2010","47.63375163","-122.36873839"
"SINGLE FAMILY / DUPLEX","09/10/2010","47.63781845","-122.31653258"
"SINGLE FAMILY / DUPLEX","09/10/2010","47.6378349","-122.31679412"
"MULTIFAMILY","09/09/2010","47.66149893","-122.28450907"
"COMMERCIAL","09/07/2010","47.57984915","-122.38578423"
"SINGLE FAMILY / DUPLEX","09/02/2010","47.63263843","-122.36340322"
"SINGLE FAMILY / DUPLEX","09/01/2010","47.67720245","-122.39218019"
"SINGLE FAMILY / DUPLEX","08/31/2010","47.64402314","-122.40341455"
"SINGLE FAMILY / DUPLEX","08/31/2010","47.62830637","-122.2916624"
"COMMERCIAL","08/30/2010","47.65574781","-122.3141346"
"SINGLE FAMILY / DUPLEX","08/26/2010","47.69400917","-122.27321836"
"SINGLE FAMILY / DUPLEX","08/26/2010","47.69383165","-122.27345651"
