"Year","Coordinates: Latitude","Coordinates: Longitude"
"2009","47.72663969","-122.28073713"
"2009","47.67251311","-122.36354536"
"2009","47.55218609","-122.38319255"
"2009","47.66421512","-122.38161517"
"2009","47.51184158","-122.38971275"
"2009","47.51789068","-122.39589718"
"2009","47.67603089","-122.31349839"
"2009","47.53818521","-122.38626742"
"2009","47.63827615","-122.37172743"
"2009","47.68478343","-122.27559394"
"2009","47.54693174","-122.28636388"
"2009","47.71214273","-122.28882319"
"2009","47.70884768","-122.27855194"
"2009","47.56599696","-122.36377346"
"2009","47.70602444","-122.27592414"
"2009","47.68571713","-122.37637485"
"2009","47.68784231","-122.3479072"
"2009","47.54516395","-122.30190897"
"2009","47.63519387","-122.36799813"
"2009","47.52790608","-122.26112069"
"2009","47.59790423","-122.31985217"
"2009","47.6630259","-122.32049053"
"2009","47.51675078","-122.37163864"
"2009","47.58762873","-122.38795096"
"2009","47.69257812","-122.26952102"
"2009","47.66006522","-122.33415525"
"2009","47.60001657","-122.2868555"
"2009","47.66748318","-122.32772349"
"2009","47.71121553","-122.32132568"
"2009","47.63214074","-122.35078543"
"2009","47.67867153","-122.26800005"
"2009","47.5324889","-122.36825808"
"2009","47.67631941","-122.3133782"
"2009","47.69129988","-122.29039286"
"2009","47.66477064","-122.36460345"
"2009","47.63566825","-122.28509078"
"2009","47.69370994","-122.3072633"
"2009","47.68061051","-122.29306009"
"2009","47.63761247","-122.35929555"
"2009","47.52149908","-122.35753916"
"2009","47.71833489","-122.27880766"
"2009","47.6159316","-122.29931401"
"2009","47.54418408","-122.32199161"
"2009","47.67566222","-122.36141549"
"2009","47.6689812","-122.37729342"
"2009","47.6689274","-122.37693346"
"2009","47.69641272","-122.37517726"
"2009","47.53137916","-122.27514191"
"2009","47.52586904","-122.38374853"
"2009","47.61917152","-122.31616597"
"2009","47.65897643","-122.33575305"
"2009","47.55927771","-122.27105336"
"2009","47.6191122","-122.31616129"
"2009","47.67600905","-122.3141394"
"2009","47.6178263","-122.302378"
"2009","47.54271744","-122.28712048"
"2009","47.64119231","-122.32738963"
"2009","47.51950613","-122.26936343"
"2009","47.59677294","-122.30173577"
"2009","47.59677294","-122.30173577"
"2009","47.59677294","-122.30173577"
"2009","47.59677294","-122.30173577"
"2009","47.59677294","-122.30173577"
"2009","47.57871645","-122.41144561"
"2009","47.55845946","-122.31567792"
"2009","47.6029209","-122.31528186"
"2009","47.63201523","-122.39678095"
"2009","47.67566252","-122.31405433"
"2009","47.69287925","-122.36040912"
"2009","47.64811349","-122.4127632"
"2009","47.55731736","-122.31637385"
"2009","47.72190445","-122.35137196"
"2009","47.63420514","-122.35025964"
"2009","47.62702784","-122.30557898"
"2009","47.63420668","-122.37142708"
"2009","47.62419713","-122.34444505"
"2009","47.62941921","-122.34148205"
"2009","47.6609387","-122.43036847"
"2009","47.55358236","-122.33176983"
"2009","47.71864531","-122.31201757"
"2009","47.71783303","-122.31217983"
"2009","47.71778606","-122.31153874"
"2009","47.71805736","-122.31168733"
"2009","47.71795667","-122.31169574"
"2009","47.66522073","-122.37496962"
"2009","47.55479364","-122.28409117"
"2009","47.71511552","-122.28500014"
"2009","47.66522217","-122.36997396"
"2009","47.58932163","-122.31516405"
"2009","47.68203345","-122.35495862"
"2009","47.68199856","-122.35476586"
"2009","47.65195233","-122.37051106"
"2009","47.6177509","-122.31532398"
"2009","47.63393142","-122.32275036"
"2009","47.67422713","-122.32755425"
"2009","47.67338009","-122.38001501"
"2009","47.67506598","-122.28118865"
"2009","47.69742174","-122.34750369"
"2009","47.66186548","-122.32047004"
"2009","47.51886955","-122.27104374"
"2009","47.58902441","-122.30794871"
"2009","47.6790267","-122.39815098"
"2009","47.58972763","-122.31079965"
"2009","47.67895559","-122.40272885"
"2009","47.59377816","-122.38767204"
"2009","47.54472732","-122.2587451"
"2009","47.65655533","-122.31464807"
"2009","47.63942593","-122.28516864"
"2009","47.68063346","-122.38841638"
"2010","47.70865803","-122.28228149"
"2010","47.6704908","-122.28418604"
"2010","47.7049711","-122.28832728"
"2010","47.52472991","-122.27075373"
"2010","47.6201355","-122.31524783"
"2010","47.62028071","-122.31531516"
"2010","47.60567254","-122.31842317"
"2010","47.63560283","-122.3266618"
"2010","47.65149699","-122.33176906"
"2010","47.63683548","-122.38659307"
"2010","47.68565512","-122.27448919"
"2010","47.62959085","-122.28319006"
"2010","47.57796347","-122.38831199"
"2010","47.58883022","-122.30991736"
"2010","47.55442002","-122.27823533"
"2010","47.55694998","-122.31371126"
"2010","47.55797817","-122.35679502"
"2010","47.520455","-122.39437451"
"2010","47.68962821","-122.29159204"
"2010","47.55649194","-122.39139502"
"2010","47.6366287","-122.35739732"
"2010","47.56565822","-122.38868195"
"2010","47.67758398","-122.37702986"
"2010","47.65592848","-122.27983932"
"2010","47.66476595","-122.31816528"
"2010","47.6470872","-122.31843211"
"2010","47.66810849","-122.35667342"
"2010","47.65051361","-122.37586043"
"2010","47.66028766","-122.28303044"
